11247;732;104;732i;64;BMW;15;BMW
388;545 I LIMOUSINE;105;545i;64;BMW;15;BMW
11248;M5;106;M5;64;BMW;15;BMW
492;X6 HYBRID;107;X6;64;BMW;15;BMW
395;F800 ST;108;F800 ST;64;BMW;15;BMW
11249;C1;109;C1;64;BMW;15;BMW
459;K1200LT             ;110;1200 LT;64;BMW;15;BMW
454;328 I   ;111;328ci;64;BMW;15;BMW
11250;740;112;740il;64;BMW;15;BMW
11251;2002;113;2002;64;BMW;15;BMW
11252;R 1200 RT;114;R1200RT;64;BMW;15;BMW
488;R1150R              ;115;R 1150;64;BMW;15;BMW
11253;550I;116;550i;64;BMW;15;BMW
454;328 I               ;117;328i;64;BMW;15;BMW
473;Z3 ROADSTER         ;118;Z3;64;BMW;15;BMW
11254;1502;119;1502;64;BMW;15;BMW
11255;R100RS;120;R100RS;64;BMW;15;BMW
378;R1200GS;121;R 1200 GS;64;BMW;15;BMW
460;R1150GS             ;122;GS 1150;64;BMW;15;BMW
444;318 IS              ;123;318is;64;BMW;15;BMW
378;R1200GS;124;GS 1200R;64;BMW;15;BMW
11256;R 1100 RT;125;R 1100 RT;64;BMW;15;BMW
491;R1200CC             ;126;R1200C CRUISER;64;BMW;15;BMW
472;540 I;127;540i;64;BMW;15;BMW
492;X6 HYBRID;128;X6 Hibrido;64;BMW;15;BMW
11257;K1300 GT;129;K1300 GT;64;BMW;15;BMW
11258;630 CS;130;630 CS;64;BMW;15;BMW
397;S1000RR;131;S1000RR;64;BMW;15;BMW
409;650 I;132;650i;64;BMW;15;BMW
11259;325I CABRIOLET;133;325i Cabriolet;64;BMW;15;BMW
11260;M6;134;M6;64;BMW;15;BMW
11261;7 ACTIVEHYBRID;135;7 ActiveHybrid;64;BMW;15;BMW
396;125I COUPE;136;125i Coupe;64;BMW;15;BMW
373;R1200GS ADVENTURE;137;1200 GS 30A;64;BMW;15;BMW
485;745 I LIMOUSINE     ;138;745 i;64;BMW;15;BMW
11262;328 I CABRIOLET;2082;328 i Cabriolet;64;BMW;15;BMW
497;Z4;2230;Z4 M;64;BMW;15;BMW
462;X1 XDRIVE28I;2287;X1;64;BMW;15;BMW
10828;120I;2490;120 Cabrio;64;BMW;15;BMW
496;135 I;2512;135iM;64;BMW;15;BMW
386;X5 4.4I SECURITY;2514;X5 4.4i;64;BMW;15;BMW
505;X5 4.8;2515;X5 4.8i;64;BMW;15;BMW
11264;X5 4.6;2516;X5 4.6is;64;BMW;15;BMW
418;F 800 GS;2575;F800 GS;64;BMW;15;BMW
369;F700GS;2576;F700 GS;64;BMW;15;BMW
445;G650GS;2577;G650 GS;64;BMW;15;BMW
11265;X3 2.5I;2598;X3 2.5i;64;BMW;15;BMW
11266;X3 3.0I;2599;X3 3.0i;64;BMW;15;BMW
394;X3 2.5 SI;2600;X3 2.5SI;64;BMW;15;BMW
11267;X3 3.0 SI;2601;X3 3.0SI;64;BMW;15;BMW
11263;640I;2606;640i;64;BMW;15;BMW
366;K1100LT;2770;K 1100 Lt.;64;BMW;15;BMW
410;325CI CONVERTIBLE;2847;325 ci;64;BMW;15;BMW
402;116I;3009;116i;64;BMW;15;BMW
;;139;773 TURBO;;;16;Bobcat
;;140;763;;;16;Bobcat
;;141;S250;;;16;Bobcat
;;2037;S175;;;16;Bobcat
;;2083;S185;;;16;Bobcat
;;2147;863;;;16;Bobcat
;;2178;S220;;;16;Bobcat
;;2592;S300;;;16;Bobcat
;;2769;873;;;16;Bobcat
;;142;BW213PDB-3;;;17;Bomag
;;143;BW172PD-2;;;17;Bomag
;;144;XB9SX;;;18;Buell
;;2196;XB12XT;;;18;Buell
;;2197;Lightning XB12SS;;;18;Buell
;;145;Rivera;;;19;Buick
;;146;Regal;;;19;Buick
;;147;Century;;;19;Buick
;;148;Le Sabre;;;19;Buick
;;149;Skyland;;;19;Buick
;;2743;Park Avenue;;;19;Buick
;;150;Flyer;;;20;BYD
;;2205;Fo;;;20;BYD
;;151;Escalade;;;21;Cadillac
;;152;Fleetwood Brougham;;;21;Cadillac
;;153;Escalade Hibrido;;;21;Cadillac
;;154;Seville;;;21;Cadillac
;;155;SRX CROSSOVER;;;21;Cadillac
;;156;CTS-V COUPE;;;21;Cadillac
;;157;CTS COUPE;;;21;Cadillac
;;2084;CTS-V;;;21;Cadillac
;;2158;SRX;;;21;Cadillac
;;158;200 DUMP;;;22;Camel
;;159;200 EJECTOR;;;22;Camel
;;160;CX210;;;23;Case
;;161;621D;;;23;Case
;;162;580SM;;;23;Case
;;163;821 B;;;23;Case
;;164;1188;;;23;Case
;;165;850D;;;23;Case
;;166;CX290;;;23;Case
;;167;821B;;;23;Case
;;168;580-M;;;23;Case
;;169;580-L;;;23;Case
;;170;1845C;;;23;Case
;;171;1150K-LT;;;23;Case
;;172;580N STDHOE;;;23;Case
;;173;580N EXTHOE;;;23;Case
;;174;580SN STDHOE;;;23;Case
;;175;580SN EXTHOE;;;23;Case
;;176;430 STD;;;23;Case
;;2061;580c;;;23;Case
;;2129;850G;;;23;Case
;;2130;1550;;;23;Case
;;2179;70XT;;;23;Case
;;2238;590 Super M;;;23;Case
;;2367;SR-175;;;23;Case
;;2368;SV-185;;;23;Case
;;2369;SV-200;;;23;Case
;;2409;1450B;;;23;Case
;;2582;580H;;;23;Case
;;2589;420SL;;;23;Case
;;2673;880-B;;;23;Case
;;2702;CX330;;;23;Case
;;2703;1850K;;;23;Case
;;2704;SR220;;;23;Case
;;2705;CX350;;;23;Case
;;2750;1825 B;;;23;Case
;;2810;845;;;23;Case
;;2871;650K;;;23;Case
;;2876;695 SR;;;23;Case
;;2909;SV-212;;;23;Case
11284;430D;177;430D;96;CATERPILLAR;24;Caterpillar
11285;CB224E;178;CB224E;96;CATERPILLAR;24;Caterpillar
11286;420E;179;420E;96;CATERPILLAR;24;Caterpillar
11287;312CL;180;312CL;96;CATERPILLAR;24;Caterpillar
